timestamp,count,condition,temp,humidity
6/1/2023 0:00,4,Drizzle,28.59,72
6/1/2023 0:30,2,Drizzle,31.94,80
6/1/2023 1:00,5,Mist,23.35,96
6/1/2023 1:30,10,Haze,25.67,43
6/1/2023 2:00,9,Mist,24.8,58
6/1/2023 2:30,5,Clouds,22.13,68
6/1/2023 3:00,2,Clouds,25.73,49
6/1/2023 3:30,4,Haze,30.44,82
6/1/2023 4:00,6,Clouds,22.73,82
6/1/2023 4:30,6,Clouds,27.8,68
6/1/2023 5:00,1,Clouds,27.71,32
6/1/2023 5:30,7,Clouds,29.31,91
6/1/2023 6:00,9,Fog,25.58,70
6/1/2023 6:30,2,Rain,27.39,88
6/1/2023 7:00,30,Clouds,25.42,73
6/1/2023 7:30,12,Rain,34.47,72
6/1/2023 8:00,21,Fog,29.96,81
6/1/2023 8:30,30,Mist,26.02,82
6/1/2023 9:00,23,Fog,30.27,79
6/1/2023 9:30,17,Clouds,29.72,68
6/1/2023 10:00,9,Mist,29.72,86
6/1/2023 10:30,10,Fog,24.91,57
6/1/2023 11:00,9,Mist,28.54,76
6/1/2023 11:30,5,Clouds,31.29,74
6/1/2023 12:00,1,Clear,28.9,73
6/1/2023 12:30,5,Clear,29.12,58
6/1/2023 13:00,3,Drizzle,26.51,76
6/1/2023 13:30,2,Haze,24.63,88
6/1/2023 14:00,10,Mist,31.48,78
6/1/2023 14:30,2,Drizzle,29.45,78
6/1/2023 15:00,3,Drizzle,26.87,51
6/1/2023 15:30,4,Haze,29.52,77
6/1/2023 16:00,10,Fog,28.72,85
6/1/2023 16:30,2,Clouds,24.36,90
6/1/2023 17:00,7,Thunderstorm,30.86,59
6/1/2023 17:30,9,Drizzle,25.39,63
6/1/2023 18:00,18,Clouds,32.5,74
6/1/2023 18:30,21,Clear,29.05,75
6/1/2023 19:00,19,Clear,27.65,58
6/1/2023 19:30,25,Clear,31.79,71
6/1/2023 20:00,9,Drizzle,31.41,73
6/1/2023 20:30,19,Clouds,22.47,84
6/1/2023 21:00,4,Drizzle,25.58,71
6/1/2023 21:30,1,Clouds,28.47,67
6/1/2023 22:00,1,Haze,31.68,77
6/1/2023 22:30,9,Clouds,28.13,100
6/1/2023 23:00,1,Drizzle,26.98,61
6/1/2023 23:30,1,Clouds,30.93,58
6/2/2023 0:00,3,Fog,33.4,98
6/2/2023 0:30,6,Mist,28.23,45
6/2/2023 1:00,2,Clear,24.98,75
6/2/2023 1:30,3,Clouds,24.03,48
6/2/2023 2:00,10,Fog,21.86,80
6/2/2023 2:30,5,Haze,29.36,78
6/2/2023 3:00,7,Clear,24.75,63
6/2/2023 3:30,4,Fog,26.07,68
6/2/2023 4:00,5,Thunderstorm,19.48,89
6/2/2023 4:30,3,Mist,28.85,60
6/2/2023 5:00,6,Clear,26.64,75
6/2/2023 5:30,8,Haze,29.81,76
6/2/2023 6:00,3,Drizzle,19.53,84
6/2/2023 6:30,4,Clouds,28.86,78
6/2/2023 7:00,17,Clouds,26.05,74
6/2/2023 7:30,14,Drizzle,30.07,91
6/2/2023 8:00,19,Mist,31.3,44
6/2/2023 8:30,16,Rain,31.71,77
6/2/2023 9:00,9,Drizzle,23.91,87
6/2/2023 9:30,28,Mist,21.24,55
6/2/2023 10:00,3,Clear,26.89,48
6/2/2023 10:30,4,Clear,28.55,40
6/2/2023 11:00,2,Clear,26.2,98
6/2/2023 11:30,10,Clouds,24.02,59
6/2/2023 12:00,4,Clear,31.35,83
6/2/2023 12:30,3,Clear,28.04,83
6/2/2023 13:00,6,Haze,34.69,71
6/2/2023 13:30,1,Drizzle,32.31,75
6/2/2023 14:00,5,Drizzle,22.5,51
6/2/2023 14:30,4,Thunderstorm,24.36,77
6/2/2023 15:00,9,Mist,30.06,54
6/2/2023 15:30,6,Fog,31.76,75
6/2/2023 16:00,5,Clouds,26.81,70
6/2/2023 16:30,4,Fog,33.81,55
6/2/2023 17:00,27,Fog,27.42,91
6/2/2023 17:30,27,Fog,28.46,68
6/2/2023 18:00,25,Clear,24.34,59
6/2/2023 18:30,14,Rain,34.36,85
6/2/2023 19:00,11,Rain,27.87,60
6/2/2023 19:30,26,Clouds,22.4,60
6/2/2023 20:00,28,Clear,32.18,57
6/2/2023 20:30,23,Clouds,30.44,73
6/2/2023 21:00,0,Thunderstorm,29.11,41
6/2/2023 21:30,9,Haze,27.02,75
6/2/2023 22:00,1,Clear,28.97,73
6/2/2023 22:30,2,Drizzle,29.79,50
6/2/2023 23:00,1,Clouds,29.27,60
6/2/2023 23:30,3,Clouds,31.24,72
6/3/2023 0:00,9,Fog,25.68,74
6/3/2023 0:30,3,Rain,29.13,67
6/3/2023 1:00,4,Clear,27.76,82
6/3/2023 1:30,1,Drizzle,25.03,55
6/3/2023 2:00,9,Clouds,29.67,37
6/3/2023 2:30,8,Clouds,27.66,66
6/3/2023 3:00,6,Haze,24.94,47
6/3/2023 3:30,6,Clouds,26.58,100
6/3/2023 4:00,1,Drizzle,30.35,67
6/3/2023 4:30,5,Drizzle,33.93,70
6/3/2023 5:00,1,Haze,27.77,84
6/3/2023 5:30,6,Clear,29.62,73
6/3/2023 6:00,2,Clear,30.56,61
6/3/2023 6:30,3,Fog,29.69,80
6/3/2023 7:00,4,Thunderstorm,22.64,60
6/3/2023 7:30,1,Rain,27.45,51
6/3/2023 8:00,2,Clear,32.17,66
6/3/2023 8:30,3,Drizzle,29.79,99
6/3/2023 9:00,7,Clouds,26.82,59
6/3/2023 9:30,9,Haze,31.09,93
6/3/2023 10:00,7,Clear,28.9,91
6/3/2023 10:30,3,Drizzle,29.25,64
6/3/2023 11:00,6,Fog,26.92,78
6/3/2023 11:30,2,Drizzle,26.8,74
6/3/2023 12:00,2,Clear,31.45,64
6/3/2023 12:30,3,Rain,29.74,76
6/3/2023 13:00,3,Rain,26.14,68
6/3/2023 13:30,3,Clouds,27.91,69
6/3/2023 14:00,4,Clouds,33,80
6/3/2023 14:30,7,Fog,22.73,60
6/3/2023 15:00,7,Clear,29.2,81
6/3/2023 15:30,10,Clouds,25.57,60
6/3/2023 16:00,24,Clear,31.08,74
6/3/2023 16:30,26,Haze,31.69,77
6/3/2023 17:00,15,Thunderstorm,23.32,57
6/3/2023 17:30,23,Mist,29.52,76
6/3/2023 18:00,23,Clear,26.19,50
6/3/2023 18:30,28,Clouds,24.59,55
6/3/2023 19:00,20,Mist,23.09,74
6/3/2023 19:30,13,Rain,29.84,62
6/3/2023 20:00,25,Clouds,28.55,49
6/3/2023 20:30,16,Clear,26.2,41
6/3/2023 21:00,20,Haze,28.48,41
6/3/2023 21:30,28,Clear,29.15,47
6/3/2023 22:00,27,Mist,30.47,68
6/3/2023 22:30,28,Clear,30.11,73
6/3/2023 23:00,2,Clouds,26.27,51
6/3/2023 23:30,4,Drizzle,32.96,57
6/4/2023 0:00,1,Rain,25.76,89
6/4/2023 0:30,5,Rain,27.81,61
6/4/2023 1:00,5,Drizzle,27.6,65
6/4/2023 1:30,8,Fog,29.6,79
6/4/2023 2:00,6,Clear,23.4,91
6/4/2023 2:30,4,Rain,22.96,76
6/4/2023 3:00,8,Fog,23.33,70
6/4/2023 3:30,4,Clear,27.37,56
6/4/2023 4:00,6,Haze,30.25,62
6/4/2023 4:30,0,Rain,27.88,91
6/4/2023 5:00,4,Thunderstorm,26.8,94
6/4/2023 5:30,4,Drizzle,24.66,92
6/4/2023 6:00,2,Thunderstorm,30.59,75
6/4/2023 6:30,3,Clear,30.43,47
6/4/2023 7:00,7,Clouds,32.56,57
6/4/2023 7:30,9,Fog,27.89,59
6/4/2023 8:00,6,Clear,33.16,57
6/4/2023 8:30,1,Clouds,26.37,57
6/4/2023 9:00,6,Fog,26.43,70
6/4/2023 9:30,3,Clear,28.01,47
6/4/2023 10:00,4,Haze,26.06,85
6/4/2023 10:30,9,Fog,31.18,65
6/4/2023 11:00,2,Clouds,20.78,79
6/4/2023 11:30,6,Drizzle,29.52,48
6/4/2023 12:00,7,Clear,33.82,69
6/4/2023 12:30,9,Clouds,25.26,75
6/4/2023 13:00,3,Thunderstorm,28.62,40
6/4/2023 13:30,10,Clear,31.63,75
6/4/2023 14:00,10,Mist,26.63,81
6/4/2023 14:30,7,Clouds,24.47,59
6/4/2023 15:00,9,Fog,28.58,70
6/4/2023 15:30,8,Mist,28.51,70
6/4/2023 16:00,15,Clouds,30.55,73
6/4/2023 16:30,19,Clear,24.86,89
6/4/2023 17:00,18,Clear,23.51,65
6/4/2023 17:30,17,Thunderstorm,25.71,55
6/4/2023 18:00,17,Clear,28.75,83
6/4/2023 18:30,20,Clouds,27.43,64
6/4/2023 19:00,25,Clear,31.27,72
6/4/2023 19:30,20,Haze,28.07,57
6/4/2023 20:00,27,Clouds,24.54,64
6/4/2023 20:30,23,Clear,28.18,56
6/4/2023 21:00,13,Rain,24.58,64
6/4/2023 21:30,12,Rain,25.99,67
6/4/2023 22:00,10,Rain,27.43,83
6/4/2023 22:30,14,Drizzle,22.83,71
6/4/2023 23:00,7,Clouds,33.36,66
6/4/2023 23:30,5,Clouds,27.08,30
6/5/2023 0:00,2,Mist,27.82,72
6/5/2023 0:30,10,Clear,25.36,55
6/5/2023 1:00,3,Thunderstorm,24.08,53
6/5/2023 1:30,3,Clear,26.71,64
6/5/2023 2:00,6,Clouds,31.42,79
6/5/2023 2:30,1,Fog,24.57,67
6/5/2023 3:00,9,Clear,29,66
6/5/2023 3:30,4,Haze,33.04,78
6/5/2023 4:00,1,Clouds,31.33,64
6/5/2023 4:30,2,Drizzle,25.68,83
6/5/2023 5:00,4,Fog,28.01,77
6/5/2023 5:30,5,Clear,26.96,79
6/5/2023 6:00,0,Drizzle,24.89,71
6/5/2023 6:30,8,Clear,24.58,71
6/5/2023 7:00,25,Clouds,28.54,72
6/5/2023 7:30,17,Clouds,24.14,69
6/5/2023 8:00,17,Clouds,29.2,47
6/5/2023 8:30,20,Clear,27.91,71
6/5/2023 9:00,13,Drizzle,32.64,62
6/5/2023 9:30,24,Clouds,26.08,53
6/5/2023 10:00,10,Clouds,28.59,72
6/5/2023 10:30,4,Haze,28.17,68
6/5/2023 11:00,2,Rain,28.84,62
6/5/2023 11:30,3,Fog,27.47,80
6/5/2023 12:00,1,Drizzle,26.51,89
6/5/2023 12:30,4,Haze,31.31,50
6/5/2023 13:00,7,Clouds,25.19,77
6/5/2023 13:30,3,Drizzle,24.06,85
6/5/2023 14:00,10,Clouds,21.95,70
6/5/2023 14:30,4,Fog,28.4,96
6/5/2023 15:00,6,Clouds,25.46,91
6/5/2023 15:30,10,Fog,29.6,46
6/5/2023 16:00,1,Clouds,21.03,87
6/5/2023 16:30,7,Clear,24.03,70
6/5/2023 17:00,29,Clouds,28.73,48
6/5/2023 17:30,27,Haze,27.37,71
6/5/2023 18:00,25,Mist,30.85,97
6/5/2023 18:30,12,Rain,36.26,86
6/5/2023 19:00,23,Clouds,23.11,91
6/5/2023 19:30,17,Drizzle,26.39,47
6/5/2023 20:00,19,Clouds,25.03,63
6/5/2023 20:30,18,Fog,27.79,56
6/5/2023 21:00,7,Clouds,29.45,75
6/5/2023 21:30,6,Clear,28.44,64
6/5/2023 22:00,3,Clear,24.42,92
6/5/2023 22:30,2,Thunderstorm,25.92,52
6/5/2023 23:00,3,Clouds,27.88,88
6/5/2023 23:30,1,Fog,32.64,73
6/6/2023 0:00,5,Clear,32.65,64
6/6/2023 0:30,1,Clouds,31.83,99
6/6/2023 1:00,2,Drizzle,30.01,86
6/6/2023 1:30,3,Mist,23.93,98
6/6/2023 2:00,5,Drizzle,26.35,54
6/6/2023 2:30,5,Haze,27.22,78
6/6/2023 3:00,6,Thunderstorm,29.38,33
6/6/2023 3:30,1,Drizzle,29.49,67
6/6/2023 4:00,9,Haze,26.98,69
6/6/2023 4:30,1,Rain,28.69,85
6/6/2023 5:00,4,Clouds,25.25,80
6/6/2023 5:30,4,Drizzle,26.65,65
6/6/2023 6:00,7,Clear,28.96,56
6/6/2023 6:30,1,Drizzle,29.75,37
6/6/2023 7:00,18,Clouds,25.33,63
6/6/2023 7:30,17,Mist,23.01,68
6/6/2023 8:00,20,Clouds,23.63,76
6/6/2023 8:30,12,Rain,26.58,67
6/6/2023 9:00,22,Mist,28.8,69
6/6/2023 9:30,22,Clouds,26.04,60
